Frame 29, ID:22, Class:6, Speed:11.42 km/h
Frame 29, ID:29, Class:7, Speed:88.92 km/h
Frame 29, ID:30, Class:7, Speed:23.85 km/h
Frame 29, ID:42, Class:2, Speed:21.64 km/h
Frame 29, ID:10, Class:2, Speed:0 km/h
Frame 29, ID:20, Class:2, Speed:0 km/h
Frame 30, ID:1, Class:2, Speed:12.36 km/h
Frame 30, ID:2, Class:2, Speed:11.74 km/h
Frame 30, ID:3, Class:2, Speed:8.32 km/h
Frame 30, ID:4, Class:2, Speed:4.23 km/h
Frame 30, ID:6, Class:2, Speed:10.57 km/h
Frame 30, ID:13, Class:2, Speed:32.45 km/h
Frame 30, ID:22, Class:6, Speed:5.09 km/h
Frame 30, ID:29, Class:7, Speed:91.16 km/h
Frame 30, ID:30, Class:7, Speed:167.58 km/h
Frame 30, ID:42, Class:2, Speed:179.91 km/h
Frame 30, ID:10, Class:2, Speed:8.81 km/h
Frame 30, ID:20, Class:2, Speed:2.74 km/h
Frame 31, ID:1, Class:2, Speed:14.98 km/h
Frame 31, ID:2, Class:2, Speed:18.05 km/h
Frame 31, ID:3, Class:2, Speed:8.73 km/h
Frame 31, ID:4, Class:2, Speed:3.48 km/h
Frame 31, ID:6, Class:2, Speed:6.85 km/h
Frame 31, ID:13, Class:2, Speed:28.64 km/h
Frame 31, ID:22, Class:6, Speed:20.76 km/h
Frame 31, ID:29, Class:2, Speed:80.38 km/h
Frame 31, ID:30, Class:7, Speed:69.17 km/h
Frame 31, ID:42, Class:2, Speed:66.51 km/h
Frame 31, ID:10, Class:2, Speed:8.6 km/h
Frame 31, ID:20, Class:2, Speed:1.58 km/h
Frame 31, ID:49, Class:2, Speed:0 km/h
Frame 32, ID:1, Class:2, Speed:14.55 km/h
Frame 32, ID:2, Class:2, Speed:12.77 km/h
Frame 32, ID:3, Class:2, Speed:6.92 km/h
Frame 32, ID:4, Class:2, Speed:1.12 km/h
Frame 32, ID:6, Class:2, Speed:4.08 km/h
Frame 32, ID:13, Class:2, Speed:28.15 km/h
Frame 32, ID:22, Class:6, Speed:5.89 km/h
Frame 32, ID:29, Class:2, Speed:72.31 km/h
Frame 32, ID:10, Class:2, Speed:5.12 km/h
Frame 32, ID:20, Class:2, Speed:0.76 km/h
Frame 32, ID:49, Class:2, Speed:32.2 km/h
Frame 32, ID:51, Class:2, Speed:0 km/h
Frame 33, ID:1, Class:2, Speed:5.67 km/h
Frame 33, ID:2, Class:2, Speed:16.61 km/h
Frame 33, ID:3, Class:2, Speed:0.78 km/h
Frame 33, ID:4, Class:2, Speed:6.43 km/h
Frame 33, ID:6, Class:2, Speed:1.09 km/h
Frame 33, ID:13, Class:2, Speed:21.06 km/h
Frame 33, ID:22, Class:6, Speed:3.27 km/h
Frame 33, ID:29, Class:2, Speed:52.78 km/h
Frame 33, ID:10, Class:2, Speed:5.18 km/h
Frame 33, ID:20, Class:2, Speed:2.41 km/h
Frame 33, ID:49, Class:2, Speed:28.35 km/h
Frame 33, ID:51, Class:2, Speed:3.32 km/h
Frame 34, ID:1, Class:2, Speed:13.29 km/h
Frame 34, ID:2, Class:2, Speed:13.7 km/h
Frame 34, ID:3, Class:2, Speed:5.22 km/h
Frame 34, ID:4, Class:2, Speed:4.81 km/h
Frame 34, ID:6, Class:2, Speed:1.55 km/h
Frame 34, ID:13, Class:2, Speed:25.22 km/h
Frame 34, ID:22, Class:6, Speed:8.45 km/h
Frame 34, ID:29, Class:7, Speed:66.7 km/h
Frame 34, ID:10, Class:2, Speed:10.73 km/h
Frame 34, ID:20, Class:2, Speed:3.07 km/h
Frame 34, ID:49, Class:2, Speed:35.77 km/h
Frame 34, ID:51, Class:2, Speed:7.07 km/h
